lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33423,48,395,12,1,2021-04-14 13:02:40.980000000
33423,48,396,12,1,2021-04-14 13:02:40.980000000
33428,53,374,13,1,2021-07-23 13:55:57.220000000
33428,53,375,13,1,2021-07-23 13:55:57.220000000
33428,53,376,13,1,2021-07-23 13:55:57.220000000
33428,53,377,13,1,2021-07-23 13:55:57.220000000
33428,53,378,13,1,2021-07-23 13:55:57.220000000
33428,53,379,13,1,2021-07-23 13:55:57.220000000
33428,53,380,13,1,2021-07-23 13:55:57.220000000
33428,53,381,13,1,2021-07-23 13:55:57.220000000
33428,53,391,12,1,2021-07-23 13:55:57.220000000
33428,53,392,12,1,2021-07-23 13:55:57.220000000
33428,53,393,12,1,2021-07-23 13:55:57.220000000
33428,53,394,12,1,2021-07-23 13:55:57.220000000
33428,53,395,12,1,2021-07-23 13:55:57.220000000
33428,53,396,12,1,2021-07-23 13:55:57.220000000
33431,52,378,13,1,2021-06-10 12:58:35.390000000
33431,52,379,13,1,2021-06-10 12:58:35.390000000
33431,52,380,13,1,2021-06-10 12:58:35.390000000
33431,52,381,13,1,2021-06-10 12:58:35.390000000
33431,52,394,12,1,2021-06-10 12:58:35.390000000
33431,52,395,12,1,2021-06-10 12:58:35.390000000
33431,52,396,12,1,2021-06-10 12:58:35.390000000
33436,35,378,13,1,2021-06-23 12:25:19.510000000
33436,35,379,13,1,2021-06-23 12:25:19.510000000
33436,35,380,13,1,2021-06-23 12:25:19.510000000
33436,35,381,13,1,2021-06-23 12:25:19.510000000
33436,35,394,12,1,2021-06-23 12:25:19.510000000
33436,35,395,12,1,2021-06-23 12:25:19.510000000
33436,35,396,12,1,2021-06-23 12:25:19.510000000
33438,43,378,13,1,2021-06-18 14:59:11.750000000
33438,43,379,13,1,2021-06-18 14:59:11.750000000
33438,43,380,13,1,2021-06-18 14:59:11.750000000
33438,43,381,13,1,2021-06-18 14:59:11.750000000
33438,43,394,12,1,2021-06-18 14:59:11.750000000
33438,43,395,12,1,2021-06-18 14:59:11.750000000
33438,43,396,12,1,2021-06-18 14:59:11.750000000
33443,29,378,13,1,2019-10-14 18:20:31.313000000
33443,29,379,13,1,2019-10-14 18:20:31.313000000
33443,29,380,13,1,2019-10-14 18:20:31.313000000
33443,29,381,13,1,2019-10-14 18:20:31.313000000
33443,29,394,12,1,2019-10-14 18:20:31.313000000
33443,29,395,12,1,2019-10-14 18:20:31.313000000
33443,29,396,12,1,2019-10-14 18:20:31.313000000
33444,38,378,13,1,2021-07-09 17:00:41.413000000
33444,38,379,13,1,2021-07-09 17:00:41.413000000
33444,38,380,13,1,2021-07-09 17:00:41.413000000
33444,38,381,13,1,2021-07-09 17:00:41.413000000
33444,38,394,12,1,2021-07-09 17:00:41.413000000
33444,38,395,12,1,2021-07-09 17:00:41.413000000
33444,38,396,12,1,2021-07-09 17:00:41.413000000
33445,71,374,13,1,2019-10-14 18:31:32.373000000
33445,71,375,13,1,2019-10-14 18:31:32.373000000
33445,71,376,13,1,2019-10-14 18:31:32.373000000
33445,71,377,13,1,2019-10-14 18:31:32.373000000
33445,71,378,13,1,2019-10-14 18:31:32.373000000
33445,71,379,13,1,2019-10-14 18:31:32.373000000
33445,71,380,13,1,2019-10-14 18:31:32.373000000
33445,71,381,13,1,2019-10-14 18:31:32.373000000
33445,71,391,12,1,2019-10-14 18:31:32.373000000
33445,71,392,12,1,2019-10-14 18:31:32.373000000
33445,71,393,12,1,2019-10-14 18:31:32.373000000
33445,71,394,12,1,2019-10-14 18:31:32.373000000
33445,71,395,12,1,2019-10-14 18:31:32.373000000
33445,71,396,12,1,2019-10-14 18:31:32.373000000
33446,47,378,13,1,2021-06-18 14:58:02.380000000
33446,47,379,13,1,2021-06-18 14:58:02.380000000
33446,47,380,13,1,2021-06-18 14:58:02.380000000
33446,47,381,13,1,2021-06-18 14:58:02.380000000
33446,47,394,12,1,2021-06-18 14:58:02.380000000
33446,47,395,12,1,2021-06-18 14:58:02.380000000
33446,47,396,12,1,2021-06-18 14:58:02.380000000
33447,42,378,13,1,2021-03-02 20:09:54.390000000
33447,42,379,13,1,2021-03-02 20:09:54.390000000
33447,42,380,13,1,2021-03-02 20:09:54.390000000
33447,42,381,13,1,2021-03-02 20:09:54.390000000
33447,42,394,12,1,2021-03-02 20:09:54.390000000
33447,42,395,12,1,2021-03-02 20:09:54.390000000
33447,42,396,12,1,2021-03-02 20:09:54.390000000
33449,36,378,13,1,2019-11-09 15:55:38.667000000
33449,36,379,13,1,2019-11-09 15:55:38.667000000
33449,36,380,13,1,2019-11-09 15:55:38.667000000
33449,36,381,13,1,2019-11-09 15:55:38.667000000
33449,36,394,12,1,2019-11-09 15:55:38.667000000
33449,36,395,12,1,2019-11-09 15:55:38.667000000
33449,36,396,12,1,2019-11-09 15:55:38.667000000
33452,30,378,13,1,2019-10-14 18:26:08.903000000
33452,30,379,13,1,2019-10-14 18:26:08.903000000
33452,30,380,13,1,2019-10-14 18:26:08.903000000
33452,30,381,13,1,2019-10-14 18:26:08.903000000
33452,30,394,12,1,2019-10-14 18:26:08.903000000
33452,30,395,12,1,2019-10-14 18:26:08.903000000
33452,30,396,12,1,2019-10-14 18:26:08.903000000
33455,31,378,13,1,2021-09-03 12:52:54.617000000
33455,31,379,13,1,2021-09-03 12:52:54.617000000
33455,31,380,13,1,2021-09-03 12:52:54.617000000
33455,31,381,13,1,2021-09-03 12:52:54.617000000
33455,31,394,12,1,2021-09-03 12:52:54.617000000
33455,31,395,12,1,2021-09-03 12:52:54.617000000
33455,31,396,12,1,2021-09-03 12:52:54.617000000
33456,68,374,13,1,2021-07-06 14:33:34.140000000
33456,68,375,13,1,2021-07-06 14:33:34.140000000
33456,68,376,13,1,2021-07-06 14:33:34.140000000
33456,68,377,13,1,2021-07-06 14:33:34.140000000
33456,68,378,13,1,2021-07-06 14:33:34.140000000
33456,68,379,13,1,2021-07-06 14:33:34.140000000
33456,68,380,13,1,2021-07-06 14:33:34.140000000
33456,68,381,13,1,2021-07-06 14:33:34.140000000
33456,68,391,12,1,2021-07-06 14:33:34.140000000
33456,68,392,12,1,2021-07-06 14:33:34.140000000
33456,68,393,12,1,2021-07-06 14:33:34.140000000
33456,68,394,12,1,2021-07-06 14:33:34.140000000
33456,68,395,12,1,2021-07-06 14:33:34.140000000
33456,68,396,12,1,2021-07-06 14:33:34.140000000
33457,57,374,13,1,2021-04-12 15:07:54.960000000
33457,57,375,13,1,2021-04-12 15:07:54.960000000
33457,57,376,13,1,2021-04-12 15:07:54.960000000
33457,57,377,13,1,2021-04-12 15:07:54.960000000
33457,57,378,13,1,2021-04-12 15:07:54.960000000
33457,57,379,13,1,2021-04-12 15:07:54.960000000
33457,57,380,13,1,2021-04-12 15:07:54.960000000
33457,57,381,13,1,2021-04-12 15:07:54.960000000
33457,57,391,12,1,2021-04-12 15:07:54.960000000
33457,57,392,12,1,2021-04-12 15:07:54.960000000
33457,57,393,12,1,2021-04-12 15:07:54.960000000
33457,57,394,12,1,2021-04-12 15:07:54.960000000
33457,57,395,12,1,2021-04-12 15:07:54.960000000
33457,57,396,12,1,2021-04-12 15:07:54.960000000
33458,69,378,13,1,2021-05-20 13:31:47.473000000
33458,69,379,13,1,2021-05-20 13:31:47.473000000
33458,69,380,13,1,2021-05-20 13:31:47.473000000
33458,69,381,13,1,2021-05-20 13:31:47.473000000
33458,69,394,12,1,2021-05-20 13:31:47.473000000
33458,69,395,12,1,2021-05-20 13:31:47.473000000
33458,69,396,12,1,2021-05-20 13:31:47.473000000
33459,37,374,13,1,2019-10-04 17:48:18.243000000
33459,37,375,13,1,2019-10-04 17:48:18.243000000
33459,37,376,13,1,2019-10-04 17:48:18.243000000
33459,37,377,13,1,2019-10-04 17:48:18.243000000
33459,37,378,13,1,2019-10-04 17:48:18.243000000
33459,37,379,13,1,2019-10-04 17:48:18.243000000
33459,37,380,13,1,2019-10-04 17:48:18.243000000
33459,37,381,13,1,2019-10-04 17:48:18.243000000
33459,37,391,12,1,2019-10-04 17:48:18.243000000
33459,37,392,12,1,2019-10-04 17:48:18.243000000
33459,37,393,12,1,2019-10-04 17:48:18.243000000
33459,37,394,12,1,2019-10-04 17:48:18.243000000
33459,37,395,12,1,2019-10-04 17:48:18.243000000
33459,37,396,12,1,2019-10-04 17:48:18.243000000
33461,59,378,13,1,2021-07-09 17:01:32.563000000
33461,59,379,13,1,2021-07-09 17:01:32.563000000
33461,59,380,13,1,2021-07-09 17:01:32.563000000
33461,59,381,13,1,2021-07-09 17:01:32.563000000
33461,59,394,12,1,2021-07-09 17:01:32.563000000
33461,59,395,12,1,2021-07-09 17:01:32.563000000
33461,59,396,12,1,2021-07-09 17:01:32.563000000
33467,46,374,13,1,2021-03-09 17:37:44.097000000
33467,46,375,13,1,2021-03-09 17:37:44.097000000
33467,46,376,13,1,2021-03-09 17:37:44.097000000
33467,46,377,13,1,2021-03-09 17:37:44.097000000
